index,filename,cluster,distance
5736,dataset\20. ememes\ememes0006074.jpg,1,719.510376
8857,dataset\20. ememes\ememes0009441.jpg,12,719.367798
10661,dataset\20. ememes\ememes0011499.jpg,12,719.349060
126,dataset\20. ememes\ememes0000126.jpg,14,719.112061
2093,dataset\20. ememes\ememes0002113.jpg,3,718.436646
3317,dataset\20. ememes\ememes0003368.jpg,17,718.337402
3318,dataset\20. ememes\ememes0003369.jpg,17,718.337402
5965,dataset\20. ememes\ememes0006316.jpg,16,718.172852
3667,dataset\20. ememes\ememes0003819.jpg,12,717.543762
9033,dataset\20. ememes\ememes0009640.jpg,19,717.216370
217,dataset\20. ememes\ememes0000217.jpg,14,717.097778
5450,dataset\20. ememes\ememes0005766.jpg,19,716.023743
4492,dataset\20. ememes\ememes0004688.jpg,12,715.908813
2422,dataset\20. ememes\ememes0002447.jpg,14,715.793152
1719,dataset\20. ememes\ememes0001733.jpg,15,715.678101
428,dataset\20. ememes\ememes0000428.jpg,14,715.508057
8217,dataset\20. ememes\ememes0008752.jpg,14,715.103210
239,dataset\20. ememes\ememes0000239.jpg,14,714.948608
6460,dataset\20. ememes\ememes0006845.jpg,12,714.922485
9322,dataset\20. ememes\ememes0009966.jpg,19,714.106506
1420,dataset\20. ememes\ememes0001429.jpg,12,713.650879
5033,dataset\20. ememes\ememes0005297.jpg,19,713.107422
642,dataset\20. ememes\ememes0000643.jpg,10,711.530945
3163,dataset\20. ememes\ememes0003210.jpg,19,711.490540
9484,dataset\20. ememes\ememes0010162.jpg,19,711.289673
7995,dataset\20. ememes\ememes0008510.jpg,14,711.150879
140,dataset\20. ememes\ememes0000140.jpg,7,710.863098
4913,dataset\20. ememes\ememes0005162.jpg,12,709.736023
3355,dataset\20. ememes\ememes0003419.jpg,4,709.273132
1904,dataset\20. ememes\ememes0001920.jpg,1,708.719727
5448,dataset\20. ememes\ememes0005763.jpg,19,708.466370
193,dataset\20. ememes\ememes0000193.jpg,14,708.148499
6599,dataset\20. ememes\ememes0006993.jpg,3,707.819641
10961,dataset\20. ememes\ememes0011843.jpg,12,707.708252
454,dataset\20. ememes\ememes0000454.jpg,14,707.612427
9827,dataset\20. ememes\ememes0010558.jpg,12,707.195984
6643,dataset\20. ememes\ememes0007039.jpg,19,707.022766
11942,dataset\20. ememes\ememes0013030.jpg,7,706.815796
10748,dataset\20. ememes\ememes0011602.jpg,4,706.231873
6058,dataset\20. ememes\ememes0006413.jpg,1,705.906921
3546,dataset\20. ememes\ememes0003677.jpg,1,705.618591
11032,dataset\20. ememes\ememes0011922.jpg,4,705.147766
440,dataset\20. ememes\ememes0000440.jpg,14,705.038269
10833,dataset\20. ememes\ememes0011701.jpg,12,704.486450
527,dataset\20. ememes\ememes0000527.jpg,14,704.237183
7517,dataset\20. ememes\ememes0007987.jpg,19,704.205994
2979,dataset\20. ememes\ememes0003018.jpg,2,704.146118
296,dataset\20. ememes\ememes0000296.jpg,6,704.096191
11137,dataset\20. ememes\ememes0012056.jpg,12,703.569458
9907,dataset\20. ememes\ememes0010650.jpg,9,702.900330
697,dataset\20. ememes\ememes0000698.jpg,4,702.898682
241,dataset\20. ememes\ememes0000241.jpg,11,702.735901
9423,dataset\20. ememes\ememes0010089.jpg,4,702.612915
5194,dataset\20. ememes\ememes0005471.jpg,10,702.238281
491,dataset\20. ememes\ememes0000491.jpg,0,702.230469
9949,dataset\20. ememes\ememes0010695.jpg,12,702.172241
6452,dataset\20. ememes\ememes0006836.jpg,12,702.093811
131,dataset\20. ememes\ememes0000131.jpg,14,702.028442
8610,dataset\20. ememes\ememes0009161.jpg,10,701.187805
5284,dataset\20. ememes\ememes0005577.jpg,19,701.039246
10437,dataset\20. ememes\ememes0011257.jpg,12,700.692749
10542,dataset\20. ememes\ememes0011369.jpg,19,700.559875
10541,dataset\20. ememes\ememes0011368.jpg,12,700.267090
9327,dataset\20. ememes\ememes0009972.jpg,12,699.812256
9642,dataset\20. ememes\ememes0010343.jpg,19,699.496887
10713,dataset\20. ememes\ememes0011559.jpg,18,698.871460
2585,dataset\20. ememes\ememes0002611.jpg,10,698.349548
25,dataset\20. ememes\ememes0000025.jpg,14,698.090149
7902,dataset\20. ememes\ememes0008400.jpg,12,697.741028
8809,dataset\20. ememes\ememes0009388.jpg,19,697.576294
179,dataset\20. ememes\ememes0000179.jpg,16,697.052734
3396,dataset\20. ememes\ememes0003475.jpg,12,697.013855
9546,dataset\20. ememes\ememes0010236.jpg,10,696.945923
3130,dataset\20. ememes\ememes0003176.jpg,7,696.891602
3353,dataset\20. ememes\ememes0003417.jpg,12,696.721680
821,dataset\20. ememes\ememes0000823.jpg,0,695.934570
2845,dataset\20. ememes\ememes0002879.jpg,19,695.893311
5006,dataset\20. ememes\ememes0005265.jpg,14,695.716003
7795,dataset\20. ememes\ememes0008286.jpg,14,695.207947
8565,dataset\20. ememes\ememes0009115.jpg,14,694.733337
10380,dataset\20. ememes\ememes0011193.jpg,3,694.609680
695,dataset\20. ememes\ememes0000696.jpg,3,694.519653
11114,dataset\20. ememes\ememes0012016.jpg,9,693.977417
