index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
164,dataset\20. ememes\ememes0000164.jpg,600,667,256,3575.2214,75.7717,0.0000,255.0000,65.3325,219623,1.0000
165,dataset\20. ememes\ememes0000165.jpg,600,1000,256,3969.9822,85.8578,0.0000,255.0000,68.3437,336097,1.0000
166,dataset\20. ememes\ememes0000166.jpg,600,1000,256,2950.4150,75.1798,0.0000,255.0000,57.3206,338972,1.0000
167,dataset\20. ememes\ememes0000167.jpg,600,667,256,2186.6311,77.9484,0.0000,255.0000,56.5431,198365,1.0000
168,dataset\20. ememes\ememes0000168.jpg,600,667,256,3433.7195,61.9975,0.0000,255.0000,59.4733,232304,1.0000
169,dataset\20. ememes\ememes0000169.jpg,600,667,256,2766.8040,129.0006,0.0000,255.0000,81.6155,202749,1.0000
170,dataset\20. ememes\ememes0000170.jpg,600,333,256,5024.3384,94.8743,0.0000,255.0000,63.4207,169072,1.0000
171,dataset\20. ememes\ememes0000171.jpg,600,667,256,4279.5015,71.7559,0.0000,255.0000,55.1512,277677,1.0000
172,dataset\20. ememes\ememes0000172.jpg,600,667,256,3595.3889,75.0867,0.0000,255.0000,63.3547,269289,1.0000
173,dataset\20. ememes\ememes0000173.jpg,600,667,256,1044.9797,54.5788,0.0000,255.0000,51.8670,209935,1.0000
174,dataset\20. ememes\ememes0000174.jpg,600,1000,256,6213.6802,73.1759,0.0000,255.0000,72.1256,362582,1.0000
175,dataset\20. ememes\ememes0000175.jpg,600,667,256,3036.6614,53.7732,0.0000,255.0000,49.9306,248160,1.0000
176,dataset\20. ememes\ememes0000176.jpg,600,667,256,2319.1924,60.4106,0.0000,255.0000,54.4132,247316,1.0000
177,dataset\20. ememes\ememes0000177.jpg,600,667,256,2091.7195,82.9158,0.0000,255.0000,57.4624,184145,1.0000
178,dataset\20. ememes\ememes0000178.jpg,600,1000,256,6320.5728,105.1495,0.0000,255.0000,88.1067,389478,1.0000
179,dataset\20. ememes\ememes0000179.jpg,600,1000,256,3643.7664,59.8014,0.0000,255.0000,49.7550,313686,1.0000
180,dataset\20. ememes\ememes0000180.jpg,600,667,256,2589.9587,46.6553,0.0000,255.0000,50.0823,226126,1.0000
181,dataset\20. ememes\ememes0000181.jpg,600,667,256,1774.2386,67.4381,0.0000,255.0000,48.8360,202121,1.0000
182,dataset\20. ememes\ememes0000182.jpg,1200,1333,256,2914.9141,74.0874,0.0000,255.0000,58.8235,125506,1.0000
183,dataset\20. ememes\ememes0000183.jpg,600,1000,256,2777.0166,53.2869,0.0000,255.0000,60.2405,267921,1.0000
184,dataset\20. ememes\ememes0000184.jpg,600,1000,256,2559.9919,43.0012,0.0000,255.0000,45.6285,317744,1.0000
185,dataset\20. ememes\ememes0000185.jpg,600,1000,256,3454.8003,78.6388,0.0000,255.0000,59.9252,359827,1.0000
186,dataset\20. ememes\ememes0000186.jpg,600,1000,256,2789.1582,95.1684,0.0000,255.0000,62.7503,333489,1.0000
187,dataset\20. ememes\ememes0000187.jpg,600,1000,256,2673.5615,63.1651,0.0000,255.0000,50.7423,376196,1.0000
188,dataset\20. ememes\ememes0000188.jpg,600,1000,256,3966.6506,79.6195,0.0000,255.0000,67.1524,367375,1.0000
189,dataset\20. ememes\ememes0000189.jpg,600,667,256,5163.9248,67.6887,0.0000,255.0000,66.0042,251280,1.0000
190,dataset\20. ememes\ememes0000190.jpg,600,667,256,1831.4177,43.0536,0.0000,255.0000,51.9720,178301,1.0000
191,dataset\20. ememes\ememes0000191.jpg,600,667,251,777.8142,38.0412,0.0000,255.0000,29.8609,160222,1.0000
192,dataset\20. ememes\ememes0000192.jpg,600,667,256,2164.2585,48.2307,0.0000,255.0000,48.2473,186462,1.0000
193,dataset\20. ememes\ememes0000193.jpg,600,667,256,1033.0811,31.4415,0.0000,255.0000,52.7484,144539,1.0000
194,dataset\20. ememes\ememes0000194.jpg,600,1000,256,8144.3828,44.8230,0.0000,255.0000,59.5223,250347,1.0000
195,dataset\20. ememes\ememes0000195.jpg,600,667,256,6132.8721,70.6856,0.0000,255.0000,61.8264,272986,1.0000
196,dataset\20. ememes\ememes0000196.jpg,600,667,256,1760.8370,58.6886,0.0000,255.0000,50.8003,200197,1.0000
197,dataset\20. ememes\ememes0000197.jpg,600,667,256,4072.9148,71.0565,0.0000,255.0000,67.7704,247504,1.0000
198,dataset\20. ememes\ememes0000198.jpg,600,600,256,3277.7126,91.5823,0.0000,255.0000,75.3866,227674,1.0000
199,dataset\20. ememes\ememes0000199.jpg,576,960,256,1806.7389,25.3320,0.0000,255.0000,36.0816,37449,1.0000
200,dataset\20. ememes\ememes0000200.jpg,600,1000,256,1671.2081,22.1258,0.0000,255.0000,33.8010,192066,1.0000
201,dataset\20. ememes\ememes0000201.jpg,600,333,256,2168.8943,25.6051,0.0000,255.0000,37.9659,101560,1.0000
202,dataset\20. ememes\ememes0000202.jpg,600,1000,256,2722.4421,76.3159,0.0000,255.0000,67.5135,318522,1.0000
203,dataset\20. ememes\ememes0000203.jpg,600,667,256,4479.1523,50.7011,0.0000,255.0000,41.0801,277599,1.0000
204,dataset\20. ememes\ememes0000204.jpg,600,667,256,4578.9229,103.1816,0.0000,255.0000,72.5476,249747,1.0000
205,dataset\20. ememes\ememes0000205.jpg,600,667,256,1785.5350,32.8137,0.0000,255.0000,35.3328,176046,1.0000
206,dataset\20. ememes\ememes0000206.jpg,600,667,256,1172.3875,144.2414,0.0000,255.0000,89.7924,165540,1.0000
207,dataset\20. ememes\ememes0000207.jpg,600,667,256,1624.0854,110.9881,0.0000,255.0000,81.2435,205548,1.0000
208,dataset\20. ememes\ememes0000208.jpg,600,667,256,1296.0167,45.2376,0.0000,255.0000,65.7089,161955,1.0000
209,dataset\20. ememes\ememes0000209.jpg,600,667,256,2908.0374,73.0551,0.0000,255.0000,63.2015,211540,1.0000
210,dataset\20. ememes\ememes0000210.jpg,600,1000,256,4137.9229,71.9486,0.0000,255.0000,58.0041,328894,1.0000
211,dataset\20. ememes\ememes0000211.jpg,600,1000,256,5014.2744,111.1057,0.0000,255.0000,61.1443,386616,1.0000
212,dataset\20. ememes\ememes0000212.jpg,600,667,256,4008.0952,109.7775,0.0000,255.0000,60.4189,254850,1.0000
213,dataset\20. ememes\ememes0000213.jpg,600,667,256,6277.8276,61.2475,0.0000,255.0000,48.9661,283214,1.0000
214,dataset\20. ememes\ememes0000214.jpg,600,333,241,3313.3708,61.3902,0.0000,255.0000,47.3559,158717,1.0000
215,dataset\20. ememes\ememes0000215.jpg,600,1000,252,2956.0144,61.5838,0.0000,255.0000,46.3018,342552,1.0000
